,med_age_weight,med_income_weight,month_housing_costs_weight,total_pop,med_age,med_income,month_housing_costs,Against Family/Child,Aggravated Assault,Burglary,Disorderly Conduct,Disturbing the Peace,Driving Under Influence,Drunkeness,Federal Offenses,Forgery/Counterfeit,Fraud/Embezzlement,Gambling,Homicide,Larceny,Liquor Laws,Miscellaneous Other Violations,Moving Traffic Violations,Narcotic Drug Laws,Non-Criminal Detention,Other Assaults,Pre-Delinquency,Prostitution/Allied,Rape,Receive Stolen Property,Robbery,Sex (except rape/prst),Vehicle Theft,Weapon (carry/poss),General Mental Health Program,General Mental Health Resource,Substance Abuse Program
91301,373296.8,495475510.0,22705987.0,8087.0,46.160108816619264,61268.147644367506,2807.7144800296774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91302,1162478.1,1608886512.0,82779506.0,25021.0,46.460097518084815,64301.44726429799,3308.4011830062746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91303,1389892.5,1058066053.0,61529975.0,38179.0,36.40463343722989,27713.299274470257,1611.6182980172346,7.0,47.0,15.0,,,15.0,,,1.0,6.0,,,30.0,,44.0,6.0,16.0,,24.0,,2.0,,2.0,10.0,2.0,20.0,8.0,3.0,2.0,1.0
91304,2518029.7,2129436533.0,131395705.0,61497.0,40.94556970258712,34626.67338244142,2136.6197538091287,4.0,38.0,12.0,2.0,,28.0,2.0,,,4.0,,,26.0,,35.0,8.0,17.0,,40.0,,2.0,1.0,3.0,9.0,1.0,14.0,5.0,,3.0,
91305,142251.4,103203162.0,5868442.0,4574.0,31.099999999999998,22563.0,1283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91306,1621920.6,1166695466.0,73927791.0,44063.0,36.80912783968409,26477.894514672174,1677.7747997185847,7.0,49.0,18.0,,,22.0,1.0,,1.0,3.0,,,9.0,,37.0,7.0,16.0,,23.0,,1.0,,,6.0,3.0,34.0,12.0,1.0,1.0,
91307,1630275.7,1671197907.0,99506857.0,37539.0,43.42885265990037,44518.97778310557,2650.759396893897,5.0,10.0,3.0,,,6.0,,,,2.0,,,20.0,,13.0,2.0,6.0,,12.0,,1.0,,,3.0,,,2.0,,,
91308,211581.2,242742617.0,12067618.0,4681.0,45.2,51857.0,2578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91309,114869.0,75484777.0,5608776.0,3961.0,29.0,19057.0,1416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91310,131300.4,115942464.0,6377448.0,3828.0,34.3,30288.0,1666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
